,Origin,Destination,Ori,Dest,Distance,Duration,Time
171,11,6,Luxembourg Gardens,Moulin Rouge,4.7 km,1 hour 2 mins,62
172,11,7,Luxembourg Gardens,Museum,2.2 km,26 mins,26
173,11,8,Luxembourg Gardens,Tuileries Garden,2.6 km,32 mins,32
174,11,9,Luxembourg Gardens,Orangerie Museum,2.8 km,35 mins,35
175,11,10,Luxembourg Gardens,Latin Quarter,1.1 km,13 mins,13
176,11,11,Luxembourg Gardens,Luxembourg Gardens,1 m,1 min,1
177,11,12,Luxembourg Gardens,Saint-Germain-des-Pres,1.1 km,14 mins,14
178,11,13,Luxembourg Gardens,Picasso National Museum,3.0 km,39 mins,39
179,11,14,Luxembourg Gardens,The Centre Pompidou,2.2 km,29 mins,29
180,12,0,Saint-Germain-des-Pres,Eiffel Tower,3.3 km,42 mins,42
181,12,1,Saint-Germain-des-Pres,Louvre Museum,1.0 km,13 mins,13
182,12,2,Saint-Germain-des-Pres,Notre-Dame de Paris,1.4 km,19 mins,19
183,12,3,Saint-Germain-des-Pres,Arc de Triomphe,4.0 km,53 mins,53
184,12,4,Saint-Germain-des-Pres,Wall of Love,3.9 km,54 mins,54
185,12,5,Saint-Germain-des-Pres,The Basilica of the Sacred Heart of Paris,4.4 km,1 hour 1 min,61
186,12,6,Saint-Germain-des-Pres,Moulin Rouge,3.8 km,51 mins,51
187,12,7,Saint-Germain-des-Pres,Museum,1.2 km,14 mins,14
188,12,8,Saint-Germain-des-Pres,Tuileries Garden,1.6 km,20 mins,20
189,12,9,Saint-Germain-des-Pres,Orangerie Museum,1.7 km,22 mins,22
190,12,10,Saint-Germain-des-Pres,Latin Quarter,1.0 km,13 mins,13
191,12,11,Saint-Germain-des-Pres,Luxembourg Gardens,1.1 km,15 mins,15
192,12,12,Saint-Germain-des-Pres,Saint-Germain-des-Pres,1 m,1 min,1
193,12,13,Saint-Germain-des-Pres,Picasso National Museum,2.8 km,36 mins,36
194,12,14,Saint-Germain-des-Pres,The Centre Pompidou,2.0 km,26 mins,26
195,13,0,Picasso National Museum,Eiffel Tower,5.9 km,1 hour 15 mins,75
196,13,1,Picasso National Museum,Louvre Museum,2.3 km,29 mins,29
197,13,2,Picasso National Museum,Notre-Dame de Paris,1.4 km,19 mins,19
198,13,3,Picasso National Museum,Arc de Triomphe,5.7 km,1 hour 14 mins,74
199,13,4,Picasso National Museum,Wall of Love,3.9 km,52 mins,52
200,13,5,Picasso National Museum,The Basilica of the Sacred Heart of Paris,4.1 km,57 mins,57
201,13,6,Picasso National Museum,Moulin Rouge,3.9 km,52 mins,52
202,13,7,Picasso National Museum,Museum,3.1 km,40 mins,40
203,13,8,Picasso National Museum,Tuileries Garden,3.1 km,40 mins,40
204,13,9,Picasso National Museum,Orangerie Museum,3.5 km,45 mins,45
205,13,10,Picasso National Museum,Latin Quarter,2.0 km,25 mins,25
206,13,11,Picasso National Museum,Luxembourg Gardens,3.0 km,40 mins,40
207,13,12,Picasso National Museum,Saint-Germain-des-Pres,2.8 km,36 mins,36
208,13,13,Picasso National Museum,Picasso National Museum,1 m,1 min,1
209,13,14,Picasso National Museum,The Centre Pompidou,1.0 km,13 mins,13
210,14,0,The Centre Pompidou,Eiffel Tower,5.1 km,1 hour 4 mins,64
211,14,1,The Centre Pompidou,Louvre Museum,1.3 km,17 mins,17
212,14,2,The Centre Pompidou,Notre-Dame de Paris,1.1 km,14 mins,14
213,14,3,The Centre Pompidou,Arc de Triomphe,4.8 km,1 hour 1 min,61
214,14,4,The Centre Pompidou,Wall of Love,3.2 km,44 mins,44
215,14,5,The Centre Pompidou,The Basilica of the Sacred Heart of Paris,3.8 km,53 mins,53
216,14,6,The Centre Pompidou,Moulin Rouge,3.3 km,44 mins,44
217,14,7,The Centre Pompidou,Museum,2.3 km,30 mins,30
218,14,8,The Centre Pompidou,Tuileries Garden,2.1 km,27 mins,27
219,14,9,The Centre Pompidou,Orangerie Museum,2.5 km,32 mins,32
220,14,10,The Centre Pompidou,Latin Quarter,1.3 km,17 mins,17
221,14,11,The Centre Pompidou,Luxembourg Gardens,2.2 km,30 mins,30
222,14,12,The Centre Pompidou,Saint-Germain-des-Pres,2.0 km,26 mins,26
223,14,13,The Centre Pompidou,Picasso National Museum,1.0 km,13 mins,13
224,14,14,The Centre Pompidou,The Centre Pompidou,1 m,1 min,1
